Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,579.5,2023-11-10 05:30:00,581.0,575.4,2023-11,577.8,6773038,2023-11-10,2023-11
BAJFINANCE,7444.8,2023-11-10 05:30:00,7454.0,7346.45,2023-11,7370.0,496261,2023-11-10,2023-11
TITAN,3256.35,2023-11-10 05:30:00,3274.95,3223.0,2023-11,3263.05,1170763,2023-11-10,2023-11
ITC,436.55,2023-11-10 05:30:00,438.0,432.5,2023-11,434.4,4079205,2023-11-10,2023-11
TCS,3333.45,2023-11-10 05:30:00,3347.45,3322.35,2023-11,3338.0,1338557,2023-11-10,2023-11
LT,3033.25,2023-11-10 05:30:00,3044.0,3005.25,2023-11,3021.05,947753,2023-11-10,2023-11
TATACONSUM,901.49,2023-11-10 05:30:00,905.59,885.49,2023-11,891.77,3799221,2023-11-10,2023-11
RELIANCE,1157.45,2023-11-10 05:30:00,1158.18,1149.03,2023-11,1152.78,7734954,2023-11-10,2023-11
HCLTECH,1255.45,2023-11-10 05:30:00,1271.0,1250.65,2023-11,1262.3,1469902,2023-11-10,2023-11
JSWSTEEL,754.75,2023-11-10 05:30:00,759.0,745.05,2023-11,751.9,1108868,2023-11-10,2023-11
ULTRACEMCO,8710.85,2023-11-10 05:30:00,8729.95,8588.6,2023-11,8591.05,149939,2023-11-10,2023-11
POWERGRID,211.15,2023-11-10 05:30:00,213.0,209.6,2023-11,210.5,12066023,2023-11-10,2023-11
INFY,1368.85,2023-11-10 05:30:00,1373.15,1361.0,2023-11,1369.95,2943649,2023-11-10,2023-11
TRENT,2489.35,2023-11-10 05:30:00,2504.15,2454.05,2023-11,2476.95,644072,2023-11-10,2023-11
BHARTIARTL,935.5,2023-11-10 05:30:00,937.0,929.0,2023-11,929.0,1345614,2023-11-10,2023-11
TATAMOTORS,651.05,2023-11-10 05:30:00,652.95,644.0,2023-11,649.35,6425792,2023-11-10,2023-11
WIPRO,379.3,2023-11-10 05:30:00,381.8,377.0,2023-11,380.3,5355350,2023-11-10,2023-11
TECHM,1138.15,2023-11-10 05:30:00,1139.75,1121.5,2023-11,1122.0,706806,2023-11-10,2023-11
NTPC,242.75,2023-11-10 05:30:00,243.25,235.8,2023-11,237.85,9589671,2023-11-10,2023-11
HINDUNILVR,2486.55,2023-11-10 05:30:00,2488.6,2465.35,2023-11,2477.0,771062,2023-11-10,2023-11
APOLLOHOSP,5278.5,2023-11-10 05:30:00,5338.0,5218.65,2023-11,5300.0,696409,2023-11-10,2023-11
M&M,1524.1,2023-11-10 05:30:00,1551.0,1515.3,2023-11,1550.0,4872228,2023-11-10,2023-11
GRASIM,1935.31,2023-11-10 05:30:00,1940.09,1913.59,2023-11,1922.41,192125,2023-11-10,2023-11
ICICIBANK,938.6,2023-11-10 05:30:00,941.45,932.4,2023-11,934.9,9560455,2023-11-10,2023-11
ADANIENT,2205.1,2023-11-10 05:30:00,2237.0,2198.5,2023-11,2220.25,1072597,2023-11-10,2023-11
ADANIPORTS,808.6,2023-11-10 05:30:00,818.8,806.2,2023-11,808.0,3903183,2023-11-10,2023-11
BEL,138.8,2023-11-10 05:30:00,139.1,137.05,2023-11,137.5,5781314,2023-11-10,2023-11
BAJAJFINSV,1596.0,2023-11-10 05:30:00,1598.8,1572.65,2023-11,1581.0,672720,2023-11-10,2023-11
EICHERMOT,3540.75,2023-11-10 05:30:00,3565.0,3502.1,2023-11,3540.0,259237,2023-11-10,2023-11
COALINDIA,323.4,2023-11-10 05:30:00,326.15,321.55,2023-11,324.45,8445203,2023-11-10,2023-11
MARUTI,10388.8,2023-11-10 05:30:00,10416.4,10320.0,2023-11,10375.0,206395,2023-11-10,2023-11
INDUSINDBK,1498.8,2023-11-10 05:30:00,1509.45,1493.15,2023-11,1499.95,2247500,2023-11-10,2023-11
ASIANPAINT,3076.45,2023-11-10 05:30:00,3085.0,3040.1,2023-11,3070.0,364232,2023-11-10,2023-11
TATASTEEL,120.05,2023-11-10 05:30:00,120.45,118.8,2023-11,119.5,23584510,2023-11-10,2023-11
HDFCLIFE,626.75,2023-11-10 05:30:00,631.5,620.05,2023-11,620.85,2449660,2023-11-10,2023-11
DRREDDY,1084.98,2023-11-10 05:30:00,1090.14,1074.4,2023-11,1087.99,1144920,2023-11-10,2023-11
SUNPHARMA,1179.35,2023-11-10 05:30:00,1181.5,1170.1,2023-11,1174.05,957539,2023-11-10,2023-11
KOTAKBANK,1745.45,2023-11-10 05:30:00,1749.25,1734.6,2023-11,1734.6,1634799,2023-11-10,2023-11
SHRIRAMFIN,1952.2,2023-11-10 05:30:00,1965.95,1926.9,2023-11,1940.0,486020,2023-11-10,2023-11
NESTLEIND,2413.72,2023-11-10 05:30:00,2424.95,2405.56,2023-11,2422.68,283170,2023-11-10,2023-11
ONGC,195.9,2023-11-10 05:30:00,196.5,192.7,2023-11,192.7,6025889,2023-11-10,2023-11
CIPLA,1240.1,2023-11-10 05:30:00,1242.0,1230.0,2023-11,1237.85,576673,2023-11-10,2023-11
BPCL,192.03,2023-11-10 05:30:00,193.05,190.25,2023-11,190.9,4932486,2023-11-10,2023-11
BRITANNIA,4681.95,2023-11-10 05:30:00,4685.85,4621.0,2023-11,4657.45,142336,2023-11-10,2023-11
SBILIFE,1355.4,2023-11-10 05:30:00,1360.0,1341.0,2023-11,1351.8,639801,2023-11-10,2023-11
HINDALCO,481.3,2023-11-10 05:30:00,488.25,479.55,2023-11,482.05,3498064,2023-11-10,2023-11
HEROMOTOCO,3105.2,2023-11-10 05:30:00,3179.05,3095.15,2023-11,3173.85,820659,2023-11-10,2023-11
AXISBANK,1029.2,2023-11-10 05:30:00,1031.0,1016.65,2023-11,1017.9,3294063,2023-11-10,2023-11
HDFCBANK,1491.5,2023-11-10 05:30:00,1496.0,1480.05,2023-11,1480.1,7007593,2023-11-10,2023-11
BAJAJ-AUTO,5392.05,2023-11-10 05:30:00,5427.05,5349.05,2023-11,5409.95,149325,2023-11-10,2023-11
